"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°C","V","g","g","g","deg/s","deg/s","deg/s","%","%","%","%","%","#","#","#","#","#","gear","#","#","#","#","%","%","%","%","#","#","#","#","bar","km/h","km/h","#","#","deg","bar","km/h","km/h","#","#","rpm","%","°C","bar","ms","bar","°C","bar","bar","°C","deg","ms","lambda","%","°C","V","#","%","%","km/h","g","°C","°C","g","°C","°C","g","°C","°C","g","°C","°C","km/h","#","g","g","deg","deg","deg/s","m","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87",

"18.100","0.000","31.992290","13.423066","0.070435","0.014343","-0.975642","0.260404","0.451089","0.376557","100.000000","0.000000","0.000000","51.276554","51.709820","0.000000","3.000000","0.000000","0.000000","0.000000","0.349966","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.544537","0.000000","0.000000","348.056061","366.148285","20.386900","0.000000","3.840000","655.349976","372.075317","347.541412","2334.844727","0.000000","25.000000","0.743561","2.435396","0.098000","103.000000","1.062486","0.003173","99.000000","6.999565","2.149989","1.128223","100.000000","27.999954","13.202118","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.138367","1.058500","0.097000","47.220573393126","14.761043992062","689.78"
"18.200","0.000","31.993160","13.422263","0.066172","0.000416","-0.981584","0.284710","0.388202","0.359240","100.000000","0.000000","0.000000","51.241077","51.650455","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.224656","0.000000","0.000000","348.402222","365.857239","20.599352","0.000000","3.840000","655.349976","371.593048","347.812531","2342.266113","0.000000","25.000000","0.742630","2.435396","0.098000","103.000000","1.062486","0.003187","99.000000","6.999565","2.149989","1.135448","100.000000","27.999954","13.186893","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.139282","1.048500","0.081500","47.220573431328","14.761044015214","689.78"
"18.300","0.000","31.994030","13.421460","0.056956","0.005508","-0.985240","0.244627","0.415778","0.377176","100.000000","0.000000","0.000000","51.185925","51.594818","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","1.919753","0.000000","0.000000","348.565338","365.567139","20.789883","0.000000","3.840000","655.349976","371.142883","348.086456","2313.645264","0.000000","25.000000","0.759269","2.435396","0.098000","103.000000","1.062486","0.003190","99.000000","6.999565","2.149989","1.137629","100.000000","27.999954","13.140284","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.140320","1.038500","0.091500","47.220573486981","14.761044060628","689.78"
"18.400","0.000","31.994902","13.420657","0.065849","0.012147","-0.979742","0.259338","0.442682","0.372228","100.000000","0.000000","0.000000","51.154686","51.560921","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.864756","0.000000","0.000000","348.727661","365.222137","20.649094","0.000000","3.840000","655.349976","370.699036","348.343384","2267.311523","0.000000","25.000000","0.766385","2.435396","0.098000","103.000000","1.057840","0.003203","99.000000","6.999565","2.149989","1.132463","100.000000","27.999954","13.213704","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.142700","1.027000","0.100000","47.220573574482","14.761044195275","689.79"
"18.500","0.000","31.995771","13.419854","0.074656","0.000324","-0.995372","0.220748","0.407371","0.376557","100.000000","0.000000","0.000000","51.122963","51.524986","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","349.101044","364.907928","20.098574","0.000000","3.840000","655.349976","370.102631","348.533447","2294.085205","0.000000","25.000000","0.755914","2.435396","0.098000","103.000000","1.022101","0.003201","99.000000","6.999565","2.149989","1.129687","100.000000","27.999954","13.239739","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.147888","1.008500","0.106000","47.220573704395","14.761044424618","689.79"
"18.600","0.000","31.996651","13.419044","0.066715","0.006643","-0.971295","0.249147","0.433131","0.377052","100.000000","0.000000","0.000000","51.084244","51.461849","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","349.224548","364.527618","20.599352","0.000000","3.840000","655.349976","369.603668","348.875183","2299.037109","0.000000","25.000000","0.770176","2.435396","0.098000","103.000000","0.963733","0.003187","99.000000","6.999565","2.149989","1.124991","100.000000","27.999954","13.194240","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.156738","1.000000","0.133600","47.220573891834","14.761044704928","689.80"
"18.700","0.000","31.997520","13.418241","0.046956","0.006678","-0.979884","0.250853","0.389278","0.406739","100.000000","0.000000","0.000000","51.028866","51.403862","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","349.485474","364.170013","20.599352","0.000000","3.840000","655.349976","369.077393","349.157410","2276.792969","0.000000","25.000000","0.739700","2.435396","0.098000","103.000000","0.937438","0.003187","99.000000","6.999565","2.149989","1.124610","100.000000","27.999954","13.243758","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.167908","1.000000","0.103200","47.220574115258","14.761044986216","689.81"
"18.800","0.000","31.998390","13.417438","0.066646","0.000004","-0.993563","0.246247","0.476984","0.373094","100.000000","0.000000","0.000000","50.990993","51.365490","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.684695","0.000000","0.000000","349.639374","363.784027","20.599352","0.000000","3.840000","655.349976","368.563019","349.392792","2280.659912","0.000000","25.000000","0.762869","2.435396","0.098000","103.000000","0.932241","0.003187","99.000000","6.999565","2.149989","1.122137","100.000000","27.999954","13.204540","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.179321","0.996800","0.115200","47.220574330906","14.761045238776","689.82"
"18.900","0.000","31.999262","13.416635","0.067412","0.006743","-0.980036","0.258699","0.446314","0.381505","100.000000","0.000000","0.000000","50.938232","51.305603","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","349.871155","363.476898","20.098574","0.000000","3.840000","655.349976","368.133270","349.682007","2334.513672","0.000000","25.000000","0.740528","2.435396","0.098000","103.000000","0.905416","0.003187","99.000000","6.999565","2.149989","1.120116","100.000000","27.999954","13.223584","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.188782","0.978400","0.094800","47.220574500244","14.761045424741","689.83"
"19.000","0.000","32.001034","13.416938","0.060996","0.005566","-0.987558","0.220151","0.430172","0.375568","100.000000","0.000000","0.000000","50.904358","51.243114","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.679656","0.000000","0.000000","350.097931","363.053406","20.427704","0.000000","3.840000","655.349976","367.499908","349.933228","2402.431396","0.000000","25.000000","0.730587","2.435396","0.098000","103.000000","0.912553","0.003187","99.000000","6.999565","2.147323","1.122031","100.000000","27.999954","13.276330","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.195435","0.968400","0.116800","47.220574624448","14.761045525001","689.84"
"19.100","0.000","32.007538","13.423049","0.057671","0.004547","-0.984971","0.247441","0.444161","0.384474","100.000000","0.000000","0.000000","50.873108","51.185101","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.635710","0.000000","0.000000","350.284485","362.695251","20.341375","0.000000","3.840000","655.349976","367.113831","350.224243","2383.568115","0.000000","25.000000","0.733002","2.435396","0.098000","103.000000","0.937438","0.003185","99.000000","6.999565","2.127994","1.120614","100.000000","27.999954","13.250891","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.199646","0.960000","0.101600","47.220574709452","14.761045580345","689.84"
"19.200","0.000","32.014046","13.429160","0.059213","0.006803","-0.982036","0.242495","0.499583","0.358746","100.000000","0.000000","0.000000","50.841366","51.146233","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.645671","0.000000","0.000000","350.565369","362.324646","20.581142","0.000000","3.840000","655.349976","366.504700","350.602997","2398.138184","0.000000","25.000000","0.747457","2.435396","0.098000","103.000000","0.937438","0.003168","99.000000","6.999565","2.100000","1.124554","100.000000","27.999954","13.245658","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.202820","0.958400","0.110000","47.220574765951","14.761045626981","689.85"
"19.300","0.000","32.020554","13.435271","0.058756","0.007052","-0.974909","0.238913","0.450618","0.379526","100.000000","0.000000","0.000000","50.807743","51.084244","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","350.713715","362.029236","20.132296","0.000000","3.840000","655.349976","366.090668","350.897858","2390.763428","0.000000","25.000000","0.738883","2.432927","0.098000","103.000000","0.937438","0.003159","99.000000","6.999565","2.100000","1.121887","100.000000","27.999954","13.291054","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.205383","0.948400","0.111600","47.220574820636","14.761045656594","689.85"
"19.400","0.000","32.027058","13.441381","0.074552","0.011388","-0.979550","0.216739","0.475100","0.374578","100.000000","0.000000","0.000000","50.777546","51.029358","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","350.944946","361.685455","20.799999","0.000000","3.840000","655.349976","365.591675","351.183411","2417.287354","0.000000","25.000000","0.730337","2.422358","0.098000","103.000000","0.937438","0.003176","98.909477","6.999565","2.102908","1.120754","100.000000","27.999954","13.302300","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.207703","0.940000","0.118400","47.220574896364","14.761045645556","689.85"
"19.500","0.000","32.033566","13.447493","0.067929","0.001249","-0.979503","0.210428","0.449542","0.375568","100.000000","0.000000","0.000000","50.745483","50.993111","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2980.981934","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","351.079773","361.320099","20.599352","0.000000","3.840000","655.349976","365.053589","351.414429","2401.718994","0.000000","25.000000","0.729996","2.434994","0.098000","103.000000","0.931677","0.003187","98.364761","6.999565","2.120276","1.124991","100.000000","27.999954","13.277493","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.209595","0.938400","0.114800","47.220574978658","14.761045615344","689.85"
"19.600","0.000","32.040070","13.453604","0.071891","-0.000120","-0.987997","0.247782","0.478060","0.379031","100.000000","0.000000","0.000000","50.711361","50.930653","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2975.062500","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.793447","0.000000","0.000000","351.334473","361.030731","20.499870","0.000000","3.840000","655.349976","364.705719","351.705536","2303.396729","0.000000","25.000000","0.734698","2.435396","0.098000","103.000000","0.897205","0.003185","98.000000","6.999565","2.126302","1.125470","100.000000","27.999954","13.273407","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.211121","0.930000","0.135200","47.220575045128","14.761045587759","689.86"
"19.700","0.000","32.046577","13.459715","0.070263","0.004866","-0.984757","0.223903","0.484517","0.357756","100.000000","0.000000","0.000000","50.650433","50.872086","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.841611","0.000000","0.000000","351.458954","360.743469","20.098574","0.000000","3.840000","655.349976","364.172791","351.994873","2319.783936","0.000000","25.000000","0.757898","2.435396","0.098000","103.000000","0.880853","0.003167","98.000000","6.999565","2.100000","1.128756","100.000000","27.999954","13.309407","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.212341","0.930000","0.110000","47.220575099943","14.761045560592","689.86"
"19.800","0.000","32.053150","13.465887","0.071116","0.005064","-0.984561","0.171070","0.494673","0.338089","100.000000","0.000000","0.000000","50.614681","50.828953","0.000000","3.000000","0.000000","0.000000","0.000000","0.139925","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.738133","0.000000","0.000000","351.749817","360.478790","19.152828","0.000000","3.840000","655.349976","363.812469","352.274170","2374.808838","0.000000","25.000000","0.750073","2.427262","0.098000","103.000000","0.915983","0.003156","98.000000","6.999565","2.100000","1.132807","100.000000","27.999954","13.294499","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.213440","0.930000","0.115100","47.220575157323","14.761045534431","689.86"
"19.900","0.000","32.059654","13.471998","0.065272","0.004101","-0.983131","0.222837","0.522585","0.366291","100.000000","0.000000","0.000000","50.583958","50.770603","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","351.926025","360.199097","19.098703","0.000000","3.840000","655.349976","363.397919","352.524048","2455.302979","0.000000","25.000000","0.749991","2.390215","0.098000","103.000000","0.937438","0.003156","98.000000","6.999565","2.100000","1.132807","100.000000","28.033957","13.265864","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.214783","0.926600","0.133200","47.220575208201","14.761045522455","689.86"
"20.000","0.000","32.063782","13.477855","0.058050","0.002155","-0.980668","0.236269","0.493731","0.357261","100.000000","0.000000","0.000000","50.555305","50.713108","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","352.046936","359.911987","19.098703","0.000000","3.840000","655.349976","362.978302","352.809906","2429.166748","0.000000","25.000000","0.749991","2.408487","0.098000","103.000000","0.937438","0.003156","98.000000","6.999565","2.100000","1.133894","100.000000","28.301271","13.284879","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.215515","0.910000","0.101700","47.220575242168","14.761045509960","689.86"
"20.100","0.000","32.056290","13.482474","0.059144","0.003221","-0.985062","0.234436","0.434073","0.368765","100.000000","0.000000","0.000000","50.524368","50.675301","0.000000","3.000000","0.000000","0.000000","0.000000","0.619883","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.520513","0.000000","0.000000","352.220825","359.624634","19.098703","0.000000","3.840000","655.349976","362.557678","353.056091","2423.244629","0.000000","25.000000","0.751657","2.423280","0.098000","103.000000","0.937438","0.003156","98.000000","6.999565","2.100000","1.139668","100.000000","28.660559","13.292133","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.215332","0.908300","0.111700","47.220575266105","14.761045472575","689.86"
"20.200","0.000","32.048794","13.487093","0.068209","0.002349","-0.984229","0.300616","0.386386","0.373960","100.000000","0.000000","0.000000","50.494675","50.619350","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.499419","0.000000","0.000000","352.372009","359.337463","19.299351","0.000000","3.840000","655.349976","362.292114","353.424774","2491.877686","0.000000","25.000000","0.758161","2.362282","0.098000","103.000000","0.937438","0.003160","98.000000","6.999565","2.100000","1.140961","100.000000","27.999954","13.302446","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.215393","0.900000","0.118300","47.220575295457","14.761045437237","689.86"
"20.300","0.000","32.041302","13.491713","0.058885","0.002364","-0.980718","0.234222","0.324171","0.369878","100.000000","0.000000","0.000000","50.463425","50.586540","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.564752","0.000000","0.000000","352.549377","359.065857","19.367640","0.000000","3.840000","655.349976","361.930481","353.634491","2500.004639","0.000000","25.000000","0.751711","2.343565","0.098000","103.000000","0.937438","0.003178","98.000000","6.999565","2.100000","1.137456","100.000000","28.039455","13.293560","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.017000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.216614","0.898300","0.110000","47.220575334086","14.761045441790","689.86"
"20.400","0.000","32.033810","13.496331","0.065151","-0.000003","-0.983792","0.293324","0.349797","0.404512","100.000000","0.000000","0.000000","50.432182","50.549980","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","352.725311","358.913940","19.146757","0.000000","3.840000","655.349976","361.608185","353.926147","2337.402344","0.000000","25.000000","0.754348","2.435396","0.098000","103.000000","0.930675","0.003187","98.000000","6.999565","2.103738","1.145340","100.000000","28.322020","13.309884","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.083000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.218811","0.890000","0.111700","47.220575381236","14.761045468175","689.86"
"20.500","0.000","32.026318","13.500950","0.072567","-0.001697","-0.982983","0.288505","0.396071","0.364930","100.000000","0.000000","0.000000","50.400928","50.492802","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.741649","0.000000","0.000000","352.956696","358.689484","20.078508","0.000000","3.840000","655.349976","361.186951","354.277039","2254.480225","0.000000","25.000000","0.736098","2.435131","0.098000","103.000000","0.893806","0.003187","98.000000","6.999565","2.122972","1.152012","100.000000","28.630772","13.301007","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.220398","0.890000","0.118300","47.220575428744","14.761045472391","689.86"
"20.600","0.000","32.018822","13.505569","0.062361","0.007495","-0.985962","0.273794","0.351815","0.399812","100.000000","0.000000","0.000000","50.374668","50.456539","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.778505","0.000000","0.000000","353.007233","358.489655","20.065357","0.000000","3.840000","655.349976","361.022888","354.438232","2226.471924","0.000000","25.000000","0.759733","2.428635","0.098000","103.000000","0.874998","0.003187","98.000000","6.999565","2.123050","1.152025","100.000000","27.999954","13.286232","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.220947","0.888300","0.111700","47.220575459547","14.761045457680","689.87"
