"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°C","V","g","g","g","deg/s","deg/s","deg/s","%","%","%","%","%","#","#","#","#","#","gear","#","#","#","#","%","%","%","%","#","#","#","#","bar","km/h","km/h","#","#","deg","bar","km/h","km/h","#","#","rpm","%","°C","bar","ms","bar","°C","bar","bar","°C","deg","ms","lambda","%","°C","V","#","%","%","km/h","g","°C","°C","g","°C","°C","g","°C","°C","g","°C","°C","km/h","#","g","g","deg","deg","deg/s","m","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87",

"1.000","0.000","31.921820","14.255101","0.065276","0.004095","-0.984158","0.236227","0.461043","0.406120","67.480789","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","5.771472","0.000000","0.000000","343.099915","362.599945","25.799351","2.727937","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.118759","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.055020","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221097891782","14.761059218308","592.20"
"1.100","0.000","31.917856","14.251999","0.062154","0.003909","-0.984109","0.326116","0.451829","0.393132","70.357246","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","6.115833","0.000000","0.000000","343.099915","362.599945","25.799351","2.796463","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.869980","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.020282","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221087818624","14.761057430523","593.93"
"1.200","0.000","31.913891","14.248897","0.064794","0.004612","-0.983692","0.298825","0.533212","0.379402","68.968445","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","5.399689","0.000000","0.000000","343.099915","362.599945","25.898832","2.599971","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.001411","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.013556","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221077745466","14.761055642737","595.65"
"1.300","0.000","31.909925","14.245794","0.063700","0.002325","-0.983872","0.293452","0.471199","0.413294","66.658043","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","5.199882","0.000000","0.000000","343.099915","362.599945","25.898832","2.499567","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.149956","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.072913","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221067672308","14.761053854952","597.38"
"1.400","0.000","31.905960","14.242691","0.064635","0.004546","-0.985064","0.296650","0.492722","0.431230","67.482903","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","5.119724","0.000000","0.000000","343.099915","362.599945","25.898832","2.499567","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.970052","0.000000","0.098000","105.998398","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.094179","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221057599151","14.761052067166","599.11"
"1.500","0.000","31.901997","14.239589","0.064277","0.002956","-0.982526","0.259637","0.479136","0.395730","67.484291","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","5.091364","0.000000","0.000000","343.099915","362.599945","25.898832","2.457899","3.840000","655.349976","364.199768","344.098053","0.000000","0.000000","25.000000","0.975543","0.000000","0.098000","105.831535","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.113645","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221047525993","14.761050279381","600.83"
"1.600","0.000","31.898031","14.236486","0.063175","0.004505","-0.984060","0.301639","0.474361","0.424056","67.154556","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.335728","0.000000","0.000000","343.099915","362.599945","25.898832","2.071844","3.840000","655.349976","364.199768","343.899902","0.000000","0.000000","25.000000","0.974292","0.000000","0.098000","105.001717","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.059194","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221037452835","14.761048491595","602.56"
"1.700","0.000","31.894066","14.233383","0.065875","0.004103","-0.983505","0.286757","0.489292","0.411315","67.185608","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.827946","0.000000","0.000000","343.099915","362.599945","25.898832","1.981932","3.840000","655.349976","364.199768","343.901215","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.178123","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.082121","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221027379678","14.761046703810","604.28"
"1.800","0.000","31.890062","14.230250","0.063037","0.004577","-0.984525","0.331957","0.469854","0.432714","66.021492","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.899666","0.000000","0.000000","343.099915","362.599945","25.898832","2.007586","3.840000","655.349976","364.199768","344.036560","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.801750","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.094402","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221017205788","14.761044898147","606.02"
"1.900","0.000","31.886097","14.227147","0.063623","0.003865","-0.983407","0.335539","0.476177","0.462401","66.555023","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.999863","0.000000","0.000000","343.099915","362.599945","25.898832","2.099957","3.840000","655.349976","364.199768","343.899902","0.000000","0.000000","25.000000","0.970115","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.114505","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221007132631","14.761043110361","607.75"
